"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 23 23:02:43 MSK 2021","Wed Jun 23 23:02:45 MSK 2021","2192","","test_product_page","TestProductPage","","","Гость может добавить товар в корзину (проверка промо)",""
"skipped","Wed Jun 23 21:13:54 MSK 2021","Wed Jun 23 21:13:56 MSK 2021","2919","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Wed Jun 23 23:02:37 MSK 2021","Wed Jun 23 23:02:39 MSK 2021","2367","","test_product_page","TestProductPage","","","Гость может добавить товар в корзину (проверка промо)",""
"passed","Wed Jun 23 21:12:53 MSK 2021","Wed Jun 23 21:12:56 MSK 2021","2829","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"passed","Wed Jun 23 23:01:08 MSK 2021","Wed Jun 23 23:01:20 MSK 2021","12302","","test_main_page","TestMainPage","","","Гость НЕ должен видеть товаров в корзине, если перешёл в неё с главной страницв, не добавляя перед этим товаров",""
"passed","Wed Jun 23 21:13:13 MSK 2021","Wed Jun 23 21:13:15 MSK 2021","2664","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Wed Jun 23 21:14:00 MSK 2021","Wed Jun 23 21:14:13 MSK 2021","12075","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Wed Jun 23 23:01:40 MSK 2021","Wed Jun 23 23:01:42 MSK 2021","1568","","test_product_page","TestLoginButtonInProductPage","","","Гость может перейти на страницу логина / регистрации",""
"skipped","Wed Jun 23 21:13:33 MSK 2021","Wed Jun 23 21:13:36 MSK 2021","2830","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Wed Jun 23 21:13:00 MSK 2021","Wed Jun 23 21:13:03 MSK 2021","3000","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Wed Jun 23 23:01:24 MSK 2021","Wed Jun 23 23:01:25 MSK 2021","1412","","test_main_page","TestLoginFromMainPage","","","Гость должен видеть кнопку перехода на страницу логина / регистрации",""
"passed","Wed Jun 23 23:03:07 MSK 2021","Wed Jun 23 23:03:19 MSK 2021","11764","","test_product_page","TestProductPage","","","Гость НЕ должен видеть сообщения об успешном добавлении товара в корзину сразу после перехода на страницу товара",""
"passed","Wed Jun 23 21:15:00 MSK 2021","Wed Jun 23 21:15:11 MSK 2021","11733","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Wed Jun 23 21:15:21 MSK 2021","Wed Jun 23 21:15:24 MSK 2021","2893","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"passed","Wed Jun 23 21:14:32 MSK 2021","Wed Jun 23 21:14:34 MSK 2021","1930","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Wed Jun 23 23:02:11 MSK 2021","Wed Jun 23 23:02:13 MSK 2021","2369","","test_product_page","TestProductPage","","","Гость может добавить товар в корзину (проверка промо)",""
"passed","Wed Jun 23 21:14:26 MSK 2021","Wed Jun 23 21:14:28 MSK 2021","1292","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Wed Jun 23 23:04:01 MSK 2021","Wed Jun 23 23:04:13 MSK 2021","11141","","test_product_page","TestUserAddToBasketFromProductPage","","","Залогиненный пользователь НЕ должен видеть сообщения об успешном добавлении товара в корзину сразу после перехода на страницу товара",""
"passed","Wed Jun 23 23:02:05 MSK 2021","Wed Jun 23 23:02:07 MSK 2021","2314","","test_product_page","TestProductPage","","","Гость может добавить товар в корзину (проверка промо)",""
"passed","Wed Jun 23 23:01:52 MSK 2021","Wed Jun 23 23:01:54 MSK 2021","2499","","test_product_page","TestProductPage","","","Гость может добавить товар в корзину (проверка промо)",""
"passed","Wed Jun 23 21:13:40 MSK 2021","Wed Jun 23 21:13:42 MSK 2021","2661","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"passed","Wed Jun 23 23:01:35 MSK 2021","Wed Jun 23 23:01:36 MSK 2021","1508","","test_product_page","TestLoginButtonInProductPage","","","Гость должен видеть кнопку перехода на страницу логина / регистрации",""
"passed","Wed Jun 23 21:13:26 MSK 2021","Wed Jun 23 21:13:29 MSK 2021","3054","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"skipped","Wed Jun 23 23:02:30 MSK 2021","Wed Jun 23 23:02:33 MSK 2021","3007","","test_product_page","TestProductPage","","","Гость может добавить товар в корзину (проверка промо)",""
"passed","Wed Jun 23 23:01:29 MSK 2021","Wed Jun 23 23:01:31 MSK 2021","1712","","test_main_page","TestLoginFromMainPage","","","Гость может перейти на страницу логина / регистрации",""
"passed","Wed Jun 23 21:12:34 MSK 2021","Wed Jun 23 21:12:36 MSK 2021","1935","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"passed","Wed Jun 23 21:12:17 MSK 2021","Wed Jun 23 21:12:30 MSK 2021","12922","module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Wed Jun 23 21:13:06 MSK 2021","Wed Jun 23 21:13:09 MSK 2021","2615","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"passed","Wed Jun 23 23:03:23 MSK 2021","Wed Jun 23 23:03:34 MSK 2021","11449","","test_product_page","TestProductPage","","","Сообщение об успешном добавлении товара в корзину должно исчезать после добавления товара в корзину",""
"passed","Wed Jun 23 23:02:17 MSK 2021","Wed Jun 23 23:02:20 MSK 2021","2289","","test_product_page","TestProductPage","","","Гость может добавить товар в корзину (проверка промо)",""
"skipped","Wed Jun 23 21:14:16 MSK 2021","Wed Jun 23 21:14:23 MSK 2021","6331","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Wed Jun 23 21:14:37 MSK 2021","Wed Jun 23 21:14:49 MSK 2021","11852","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
